s,X,Y,phi,kappa,w
-2.641022903755998641e+02,-2.444111302301432431e+01,3.445649668010070599e+01,1.350848027443942723e+00,-5.826400127851525529e-02,1.500000000000000000e+00
-2.634779350975905459e+02,-2.429434523541916136e+01,3.506334037844347051e+01,1.316987540607988505e+00,-5.021142153554721682e-02,1.500000000000000000e+00
-2.628535798195812276e+02,-2.412862664471392193e+01,3.566525869929023429e+01,1.288042791028279010e+00,-4.314490061136210669e-02,1.500000000000000000e+00
-2.622292245415718526e+02,-2.394665439813574181e+01,3.626260633609167883e+01,1.262667794619116046e+00,-3.812126141343417929e-02,1.500000000000000000e+00
-2.616048692635625343e+02,-2.375061035454689318e+01,3.685517522794182810e+01,1.240442216803733677e+00,-3.309696515207664197e-02,1.500000000000000000e+00
-2.609805139855532161e+02,-2.354213662314541367e+01,3.744380877996811563e+01,1.220630906747163680e+00,-3.058043994832678608e-02,1.500000000000000000e+00
-2.603561587075438410e+02,-2.332252237804358685e+01,3.802819496644224273e+01,1.202248804442641594e+00,-2.830750582180412839e-02,1.500000000000000000e+00
-2.597318034295345228e+02,-2.309259948355731495e+01,3.860861902426833581e+01,1.185183739102145140e+00,-2.666158032764308697e-02,1.500000000000000000e+00
-2.591074481515252046e+02,-2.285302079788841567e+01,3.918517736097283688e+01,1.168871979033167197e+00,-2.558897044992232417e-02,1.500000000000000000e+00
-2.584830928735158295e+02,-2.260428396989249578e+01,3.975778404625547324e+01,1.153229578536344890e+00,-2.457389590103584154e-02,1.500000000000000000e+00
