color,X,Y
blue,-0.904528,13.1326
blue,-0.900343,13.1591
blue,-0.896139,13.1857
blue,-0.891915,13.2122
blue,-0.887671,13.2388
blue,-0.883407,13.2653
blue,-0.879123,13.2918
blue,-0.874818,13.3184
blue,-0.870494,13.3449
blue,-0.866149,13.3714
blue,-0.861783,13.3979
blue,-0.857397,13.4245
blue,-0.85299,13.451
blue,-0.848562,13.4775
blue,-0.844113,13.504
blue,-0.839644,13.5305
blue,-0.835153,13.557
blue,-0.830641,13.5835
blue,-0.826107,13.61
blue,-0.821553,13.6365
blue,-0.816976,13.6629
blue,-0.812379,13.6894
blue,-0.807759,13.7159
blue,-0.803117,13.7424
blue,-0.798454,13.7688
blue,-0.793769,13.7953
blue,-0.789061,13.8218
blue,-0.784331,13.8482
blue,-0.779579,13.8747
blue,-0.774805,13.9011
blue,-0.770008,13.9276
blue,-0.765188,13.954
blue,-0.760346,13.9804
blue,-0.75548,14.0069
blue,-0.750592,14.0333
blue,-0.745681,14.0597
blue,-0.740747,14.0861
blue,-0.735789,14.1125
blue,-0.730808,14.1389
blue,-0.725804,14.1653
blue,-0.720776,14.1917
blue,-0.715725,14.2181
blue,-0.710649,14.2445
blue,-0.70555,14.2709
blue,-0.700427,14.2973
blue,-0.69528,14.3236
blue,-0.690109,14.35
blue,-0.684914,14.3764
blue,-0.679694,14.4027
blue,-0.67445,14.4291
blue,-0.669181,14.4554
blue,-0.663888,14.4818
blue,-0.658569,14.5081
blue,-0.653226,14.5344
blue,-0.647859,14.5608
blue,-0.642466,14.5871
blue,-0.637047,14.6134
blue,-0.631604,14.6397
blue,-0.626135,14.666
blue,-0.620641,14.6923
blue,-0.615122,14.7186
blue,-0.609576,14.7449
blue,-0.604005,14.7711
blue,-0.598408,14.7974
blue,-0.592785,14.8237
blue,-0.587136,14.8499
blue,-0.581461,14.8762
blue,-0.57576,14.9024
blue,-0.570032,14.9287
blue,-0.564278,14.9549
blue,-0.558497,14.9811
blue,-0.55269,15.0074
blue,-0.546856,15.0336
blue,-0.540995,15.0598
blue,-0.535107,15.086
blue,-0.529192,15.1122
blue,-0.52325,15.1384
blue,-0.51728,15.1646
blue,-0.511283,15.1908
blue,-0.505259,15.2169
blue,-0.499207,15.2431
blue,-0.493128,15.2692
blue,-0.48702,15.2954
blue,-0.480885,15.3215
blue,-0.474722,15.3477
blue,-0.468531,15.3738
blue,-0.462312,15.3999
blue,-0.456064,15.426
blue,-0.449788,15.4522
blue,-0.443484,15.4783
blue,-0.437142,15.5044
blue,-0.430771,15.5305
blue,-0.424371,15.5566
blue,-0.417942,15.5827
blue,-0.411485,15.6088
blue,-0.404998,15.6349
blue,-0.398483,15.661
blue,-0.391939,15.6871
blue,-0.385366,15.7132
blue,-0.378763,15.7392
blue,-0.372132,15.7653
blue,-0.365471,15.7914
blue,-0.358781,15.8174
blue,-0.352062,15.8434
blue,-0.345314,15.8695
blue,-0.338536,15.8955
blue,-0.331729,15.9215
blue,-0.324892,15.9475
blue,-0.318026,15.9735
blue,-0.31113,15.9995
blue,-0.304205,16.0254
blue,-0.29725,16.0514
blue,-0.290266,16.0774
blue,-0.283252,16.1033
blue,-0.276208,16.1293
blue,-0.269134,16.1552
blue,-0.26203,16.1811
blue,-0.254897,16.207
blue,-0.247733,16.2329
blue,-0.24054,16.2588
blue,-0.233316,16.2847
blue,-0.226063,16.3106
blue,-0.218779,16.3365
blue,-0.211465,16.3624
blue,-0.204121,16.3882
blue,-0.196747,16.4141
blue,-0.189342,16.4399
blue,-0.181907,16.4657
blue,-0.174442,16.4915
blue,-0.166946,16.5173
blue,-0.159419,16.5431
blue,-0.151863,16.5689
blue,-0.144275,16.5947
blue,-0.136657,16.6205
blue,-0.129008,16.6462
blue,-0.121328,16.672
blue,-0.113618,16.6977
blue,-0.105877,16.7235
blue,-0.098105,16.7492
blue,-0.090302,16.7749
blue,-0.0824682,16.8006
blue,-0.0746033,16.8263
blue,-0.0667073,16.852
blue,-0.0587803,16.8777
blue,-0.0508221,16.9033
blue,-0.0428328,16.929
blue,-0.0348122,16.9546
blue,-0.0267603,16.9802
blue,-0.0186771,17.0059
blue,-0.0105625,17.0315
blue,-0.00241653,17.0571
blue,0.00576093,17.0827
blue,0.0139699,17.1082
blue,0.0222104,17.1338
blue,0.0304825,17.1594
blue,0.0387863,17.1849
blue,0.0471218,17.2105
blue,0.0554889,17.236
blue,0.0638879,17.2615
